city,date,pm25_mean,pm25_median,pm25_sd,n_values,n_sensors,temp_mean,temp_min,temp_max,rh_mean,wind_mean,wind_max,precip_sum,pressure_mean,n_hours
London,2022-04-16,21.1,21.2,5.382843114934709,9,9,12.1,7.1,17.8,76.41666666666667,10.541666666666666,14.9,0,1029.8416666666667,24
London,2022-04-17,26.533333333333335,25.5,3.310589071449369,9,9,11.854166666666666,5.9,18.1,64.75,11.079166666666666,16.4,0,1022.5375,24
London,2022-04-18,11.73,11.5,1.6351911203281413,9,9,10.925,5.4,16.1,69.79166666666667,8.283333333333333,12.3,0,1017.2916666666666,24
London,2022-04-19,7.6175,7.555,1.588159311907971,8,8,11.0125,5.7,15.9,69.33333333333333,11.9,20.9,0.1,1016.2875,24
London,2022-04-20,11.241111111111111,10.5,1.6604099226128204,9,9,11.358333333333333,6.7,17.4,64.04166666666667,16.03333333333333,23.2,0,1016.1125,24
London,2022-04-21,13.6375,12.600000000000001,2.418345065771809,8,8,11.770833333333334,6.7,17.5,65.83333333333333,17.6375,24.5,0,1012.5041666666666,24
London,2022-04-22,11.493333333333334,10.9,1.3148764200486678,9,9,11.704166666666667,7.8,15.4,67.04166666666667,23.270833333333332,32.3,0.1,1007.6791666666667,24
London,2022-04-23,15.555555555555555,14.9,2.6524098057762067,9,9,12.6875,8.5,16.5,69.75,23.895833333333332,31.3,0,1003.4708333333333,24
London,2022-04-24,18.044444444444444,18.3,1.4959203781544583,9,9,12.525,7,17.7,61.375,18.770833333333332,23.9,0,1008.3,24
London,2022-04-25,10.176666666666668,10.1,1.2860987520404485,9,9,9.6,5.4,13.8,72.5,13.920833333333333,23.1,0.30000000000000004,1015.9166666666666,24
London,2022-04-26,8.404444444444444,8.04,1.4476110588752,9,9,10.045833333333334,4,14.9,64.20833333333333,12.416666666666666,18.4,0,1022.2041666666667,24
London,2022-04-27,8.5875,8.35,1.9171686713186489,8,8,8.658333333333333,4.2,11.9,68.95833333333333,12.883333333333333,18.4,0.1,1027.7,24
London,2022-04-28,9.01625,8.955,1.7109641183513213,8,8,9.533333333333333,4.3,14.1,71.66666666666667,11.125,16.9,0.1,1031.0375,24
London,2022-04-29,9.84,10.2,1.6913603992053263,9,9,8.375,4.3,11.6,70.20833333333333,11.745833333333334,16.8,0,1031.8125,24
London,2022-04-30,8.79111111111111,8.92,1.4124486224677737,9,9,10.4375,2.3,16.3,66.375,6.970833333333333,13.5,0,1029.1541666666667,24
London,2022-05-01,10.676666666666666,10.7,1.7314444836609693,9,9,11.05,8.8,13.7,72.66666666666667,9.579166666666667,14.3,1.6,1023.5333333333333,24
London,2022-05-02,13.42625,14,3.0849169356726613,8,8,11.979166666666666,6.6,15.8,74.625,3.9875,7.6,0.4,1021.1,24
