city,season,wind_bin,n,wind_mean_bin,pm25_mean_bin,pm25_sd_bin,pm25_se_bin,pm25_ci_low,pm25_ci_high
Birmingham,Winter,"(9.63,10.4]",30,10.081111111111111,14.361352136752137,9.476568432886763,1.7301767661444873,10.970205675108941,17.75249859839533
Birmingham,Winter,"(12.7,13.5]",36,13.017592592592592,13.296839814814815,9.140299789563779,1.5233832982606297,10.311008550223981,16.28267107940565
Birmingham,Winter,"(13.5,14.3]",37,13.893018018018019,11.552313296703296,10.60978742852165,1.74423830877407,8.13360621150612,14.971020381900473
Birmingham,Winter,"(14.3,15.1]",31,14.69462365591398,10.542138095238096,7.855785238511361,1.410940680420313,7.7766943616142825,13.30758182886191
Birmingham,Winter,"(15.1,16]",45,15.52212962962963,11.682316402116403,8.354374491801503,1.2453966182105611,9.241339030423703,14.123293773809102
Birmingham,Winter,"(16,17]",36,16.523032407407406,11.954541412291412,10.169340790069871,1.6948901316783118,8.632556754201921,15.276526070380903
Birmingham,Winter,"(17,18.1]",45,17.55148148148148,10.013495566137566,6.492105643248272,0.9677859690275423,8.116635066843584,11.910356065431548
Birmingham,Winter,"(18.1,19.4]",42,18.786706349206348,9.073489047619047,7.9408685189867505,1.225302614088171,6.671895924006232,11.475082171231861
Birmingham,Winter,"(19.4,20.9]",50,20.110083333333332,10.213223914285713,8.404062985938038,1.1885139853751303,7.883736502950457,12.542711325620969
Birmingham,Winter,"(20.9,22.8]",60,21.825277777777778,7.779333638583639,4.511155520178622,0.5823876733934487,6.637853798732479,8.920813478434798
Birmingham,Winter,"(22.8,25.9]",75,24.270666666666667,8.466574031746031,7.200987655280551,0.8314984322414796,6.836837104552731,10.09631095893933
Birmingham,Winter,"(25.9,45]",79,29.13064345991561,6.299429957805907,4.518837250579503,0.5084089116880819,5.302948490897267,7.295911424714548
Birmingham,Spring,"(5.97,7.09]",36,6.539583333333334,14.568399470899472,7.923895429745338,1.3206492382908896,11.979926963849328,17.156871977949613
Birmingham,Spring,"(7.09,8.06]",39,7.550747863247863,15.90423076923077,9.786087866945058,1.5670281831082753,12.83285553033855,18.975606008122988
Birmingham,Spring,"(8.06,8.83]",44,8.514204545454545,13.239042207792208,7.071595913999822,1.0660831961703527,11.149519143298317,15.328565272286099
Birmingham,Spring,"(8.83,9.63]",47,9.237854609929078,12.216561550151976,8.012543141319487,1.1687495371850802,9.925812457269219,14.507310643034733
Birmingham,Spring,"(9.63,10.4]",53,10.03380503144654,11.850511904761904,7.700894193401876,1.0577991693148663,9.777225532904765,13.923798276619042
Birmingham,Spring,"(10.4,11.1]",56,10.762127976190476,13.840845025510204,10.172356439337928,1.359338307576651,11.176541942659968,16.50514810836044
Birmingham,Spring,"(11.1,11.9]",44,11.54715909090909,11.316156655844155,9.024058073905328,1.3604279417055096,8.649717890101357,13.982595421586954
Birmingham,Spring,"(11.9,12.7]",49,12.306547619047619,11.628698007774538,6.803975597194867,0.971996513884981,9.723584840559976,13.5338111749891
Birmingham,Spring,"(12.7,13.5]",41,13.09959349593496,13.040400116144019,13.081760131039784,2.0430276917888675,9.036065840237839,17.0447343920502
Birmingham,Spring,"(13.5,14.3]",44,13.915435606060607,11.525720147907647,8.950819247903953,1.349386773254024,8.88092207232976,14.170518223485534
Birmingham,Spring,"(14.3,15.1]",52,14.63084935897436,14.026825167887669,10.507926812903095,1.4571872662594234,11.170738126019199,16.88291220975614
Birmingham,Spring,"(15.1,16]",36,15.549768518518519,11.204333664021163,7.7746814466563965,1.2957802411093995,8.66460439144674,13.744062936595586
Birmingham,Spring,"(16,17]",44,16.555208333333333,10.788443181818183,7.187053659071721,1.0834891061496252,8.664804533764917,12.912081829871449
Birmingham,Spring,"(17,18.1]",43,17.61327519379845,10.326540974529347,7.794785919216117,1.1886937087291756,7.996701305420164,12.656380643638531
Birmingham,Spring,"(18.1,19.4]",39,18.874145299145297,9.077718762718762,6.239119176948124,0.9990586351746179,7.119563837776511,11.035873687661013
Birmingham,Spring,"(19.4,20.9]",52,20.190865384615385,10.906599053724054,8.79663395819633,1.2198736456832544,8.515646708184876,13.297551399263233
Birmingham,Spring,"(20.9,22.8]",43,21.754651162790697,8.668102620893318,6.210496837841421,0.9470918888259788,6.8118025187944,10.524402722992237
Birmingham,Spring,"(22.8,25.9]",49,24.17670068027211,7.757142614188533,5.574491990171523,0.7963559985959318,6.1962848569405065,9.31800037143656
Birmingham,Spring,"(25.9,45]",38,29.07686403508772,6.657618421052631,4.427205322377945,0.7181875390338259,5.249970844546333,8.06526599755893
Birmingham,Summer,"(5.97,7.09]",34,6.565196078431373,8.726247198879552,5.100547068709806,0.8747366057365025,7.011763451636007,10.440730946123097
Birmingham,Summer,"(7.09,8.06]",53,7.622405660377359,9.239772686433064,4.283706250176631,0.588412306314786,8.086484566056082,10.393060806810045
Birmingham,Summer,"(8.06,8.83]",46,8.48913043478261,9.193505521049,4.863242052521887,0.717045921478584,7.7880955149509745,10.598915527147025
Birmingham,Summer,"(8.83,9.63]",47,9.260283687943263,9.202702634245188,4.520948923054124,0.6594481762237054,7.910184208846726,10.49522105964365
Birmingham,Summer,"(9.63,10.4]",52,10.069471153846154,8.07883028083028,4.803879190970191,0.666178182468365,6.773121043192284,9.384539518468275
Birmingham,Summer,"(10.4,11.1]",44,10.751515151515152,8.165739538239539,4.349617736107805,0.6557295460065763,6.880509628066649,9.450969448412428
Birmingham,Summer,"(11.1,11.9]",51,11.560049019607844,6.780720666044195,3.1312519653573627,0.43846297651634786,5.921333232072154,7.640108100016237
