city,mean_pm25,median_pm25,sd_pm25,mean_wind
London,10.22606730076324,7.8575,7.073643474672192,14.270816439810794
Birmingham,9.715343900200226,7.324999999999999,7.589310111477872,14.971919536817103
Manchester,9.360233131846691,7.220000000000001,7.105045452129926,13.22335726393459
Sheffield,8.978624876247485,6.93,6.688453644610664,14.882212822796083
