city,season,pm25_season_mean,n_days,pm25_annual_mean,pm25_anomaly,latitude,longitude
Birmingham,Winter,10.8428570875453,749,9.715343900200226,1.1275131873450732,52.4862,-1.8904
Birmingham,Spring,11.6122447286695,874,9.715343900200226,1.896900828469274,52.4862,-1.8904
Birmingham,Summer,7.382017289600814,874,9.715343900200226,-2.3333266105994124,52.4862,-1.8904
Birmingham,Autumn,9.183689200154623,871,9.715343900200226,-0.5316547000456033,52.4862,-1.8904
London,Winter,11.60990790852408,807,10.22606730076324,1.38384060776084,51.5074,-0.1278
London,Spring,11.992662333253307,878,10.22606730076324,1.7665950324900663,51.5074,-0.1278
London,Summer,8.026985796380847,889,10.22606730076324,-2.1990815043823932,51.5074,-0.1278
London,Autumn,9.415093066868664,879,10.22606730076324,-0.8109742338945765,51.5074,-0.1278
Manchester,Winter,10.957806317515638,746,9.360233131846691,1.5975731856689475,53.4808,-2.2426
Manchester,Spring,10.810291170910494,864,9.360233131846691,1.4500580390638032,53.4808,-2.2426
Manchester,Summer,7.189653164008987,869,9.360233131846691,-2.1705799678377042,53.4808,-2.2426
Manchester,Autumn,8.713930180215682,864,9.360233131846691,-0.646302951631009,53.4808,-2.2426
Sheffield,Winter,10.18191110747051,763,8.978624876247485,1.203286231223025,53.381100000000004,-1.4701
Sheffield,Spring,10.740324552030248,869,8.978624876247485,1.7616996757827632,53.381100000000004,-1.4701
Sheffield,Summer,6.941975054216099,871,8.978624876247485,-2.036649822031386,53.381100000000004,-1.4701
Sheffield,Autumn,8.199060883534953,866,8.978624876247485,-0.7795639927125322,53.381100000000004,-1.4701
