city,pm25_mean_city,wind_mean_city,n_days,start_date,end_date,lon,lat
Birmingham,9.715343900200226,14.971919536817103,3368,2016-02-28,2025-12-16,-1.8904,52.4862
London,10.22606730076324,14.270816439810794,3453,2016-01-31,2025-12-16,-0.1278,51.5074
Manchester,9.360233131846691,13.22335726393459,3343,2016-02-28,2025-12-16,-2.2426,53.4808
Sheffield,8.978624876247485,14.882212822796083,3369,2016-02-28,2025-12-16,-1.4701,53.381100000000004
